gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ZFAND5	4.941089264321871e-14	0.29524756650761763	0.272	0.243	1.200289404089069e-9
ZFP36	1.4911823997803005e-13	0.28255406938282235	0.702	0.714	3.622380285546306e-9
PPP1CC	1.6769874439312522e-13	0.2941928858425147	0.322	0.297	4.073737898797798e-9
OSBPL8	4.518530342216208e-13	0.2954940822867048	0.326	0.301	1.0976413907311611e-8
BAZ1A	5.70790291730299e-12	0.2640715818896626	0.295	0.268	1.3865637766712422e-7
TMPO	2.7555445048952003e-11	-0.2513040883170554	0.227	0.255	6.693768711291421e-7
HSPB1	4.0515505779318245e-11	-0.3452519771627247	0.367	0.394	9.842026663911987e-7
CSTB	9.580352826732721e-11	-0.3590826440178978	0.322	0.353	2.3272593086699128e-6
RABGAP1L	1.666254294461698e-10	0.26645727627495536	0.266	0.243	4.047664932106357e-6
TRBC1	1.0942432399918805e-9	0.2800161822700731	0.523	0.516	2.658135678588276e-5
USF2	1.0235695904675399e-8	0.2553121165770584	0.253	0.233	2.486455249163748e-4
FAM129A	3.512588993486829e-7	0.2590269529860445	0.351	0.34	0.008532781182978205
HSPH1	4.5519619793365527e-7	-0.4659439032187245	0.359	0.381	0.011057626040204353
PRDM1	0.06109370951227986	0.28879288814534165	0.444	0.466	1
